Symbol,Name,IPOyear,Sector,Industry,List
DCPH,"Deciphera Pharmaceuticals, Inc.",2017,Health Care,Major Pharmaceuticals,NASDAQ
TACO,"Del Taco Restaurants, Inc.",2014,Consumer Services,Restaurants,NASDAQ
TACOW,"Del Taco Restaurants, Inc.",2014,Consumer Services,Restaurants,NASDAQ
DMPI,"DelMar Pharmaceuticals, Inc.",n/a,Health Care,Major Pharmaceuticals,NASDAQ
DNLI,Denali Therapeutics Inc.,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
DENN,Denny&#39;s Corporation,n/a,Consumer Services,Restaurants,NASDAQ
XRAY,DENTSPLY SIRONA Inc.,1987,Health Care,Medical/Dental Instruments,NASDAQ
DRMT,Dermavant Sciences Ltd.,n/a,n/a,n/a,NASDAQ
DMTK,"DermTech, Inc.",2017,Health Care,Medical Specialities,NASDAQ
DXLG,"Destination XL Group, Inc.",n/a,Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ
DSWL,"Deswell Industries, Inc.",1995,Consumer Non-Durables,Plastic Products,NASDAQ
DXCM,"DexCom, Inc.",2005,Health Care,Medical/Dental Instruments,NASDAQ
DFPHU,DFP Healthcare Acquisitions Corp.,2020,Finance,Business Services,NASDAQ
DMAC,DiaMedica Therapeutics Inc.,2018,Health Care,Major Pharmaceuticals,NASDAQ
DEAC,Diamond Eagle Acquisition Corp.,2019,Finance,Business Services,NASDAQ
DEACU,Diamond Eagle Acquisition Corp.,2019,Finance,Business Services,NASDAQ
DEACW,Diamond Eagle Acquisition Corp.,2019,Finance,Business Services,NASDAQ
DHIL,"Diamond Hill Investment Group, Inc.",n/a,Finance,Investment Managers,NASDAQ
FANG,"Diamondback Energy, Inc.",2012,Energy,Oil & Gas Production,NASDAQ
DPHC,DiamondPeak Holdings Corp.,2019,Finance,Business Services,NASDAQ
DPHCU,DiamondPeak Holdings Corp.,2019,Finance,Business Services,NASDAQ
DPHCW,DiamondPeak Holdings Corp.,2019,Finance,Business Services,NASDAQ
DRNA,"Dicerna Pharmaceuticals, Inc.",2014,Health Care,Major Pharmaceuticals,NASDAQ
DFFN,Diffusion Pharmaceuticals Inc.,n/a,Health Care,Major Pharmaceuticals,NASDAQ
DGII,Digi International Inc.,1989,Technology,Computer Communications Equipment,NASDAQ
DMRC,Digimarc Corporation,n/a,Technology,EDP Services,NASDAQ
DRAD,Digirad Corporation,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
DRADP,Digirad Corporation,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
DGLY,"Digital Ally, Inc.",n/a,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
APPS,"Digital Turbine, Inc.",n/a,Miscellaneous,Multi-Sector Companies,NASDAQ
DCOM,"Dime Community Bancshares, Inc.",n/a,Finance,Savings Institutions,NASDAQ
DCOMP,"Dime Community Bancshares, Inc.",n/a,Finance,Savings Institutions,NASDAQ
DIOD,Diodes Incorporated,n/a,Technology,Semiconductors,NASDAQ
DRTT,DIRTT Environmental Solutions Ltd.,n/a,Technology,Computer Software: Prepackaged Software,NASDAQ
DISCA,"Discovery, Inc.",n/a,Consumer Services,Television Services,NASDAQ
DISCB,"Discovery, Inc.",n/a,Consumer Services,Television Services,NASDAQ
DISCK,"Discovery, Inc.",n/a,Consumer Services,Television Services,NASDAQ
DISH,DISH Network Corporation,1995,Consumer Services,Television Services,NASDAQ
DHC,Diversified Healthcare Trust ,n/a,Consumer Services,Real Estate Investment Trusts,NASDAQ
DHCNI,Diversified Healthcare Trust ,n/a,Consumer Services,Real Estate Investment Trusts,NASDAQ
DHCNL,Diversified Healthcare Trust ,n/a,Consumer Services,Real Estate Investment Trusts,NASDAQ
DLHC,DLH Holdings Corp.,n/a,Technology,Professional Services,NASDAQ
BOOM,DMC Global Inc.,n/a,Capital Goods,Industrial Specialties,NASDAQ
DOCU,"DocuSign, Inc.",2018,Technology,Computer Software: Prepackaged Software,NASDAQ
DOGZ,Dogness (International) Corporation,2017,Consumer Durables,Miscellaneous manufacturing industries,NASDAQ
DLTR,"Dollar Tree, Inc.",1995,Consumer Services,Department/Specialty Retail Stores,NASDAQ
DLPN,"Dolphin Entertainment, Inc.",n/a,Consumer Services,Other Consumer Services,NASDAQ
DLPNW,"Dolphin Entertainment, Inc.",n/a,Consumer Services,Other Consumer Services,NASDAQ
DOMO,"Domo, Inc.",2018,Technology,Computer Software: Prepackaged Software,NASDAQ
DGICA,"Donegal Group, Inc.",n/a,Finance,Property-Casualty Insurers,NASDAQ
DGICB,"Donegal Group, Inc.",1986,Finance,Property-Casualty Insurers,NASDAQ
DMLP,"Dorchester Minerals, L.P.",n/a,Energy,Oil & Gas Production,NASDAQ
DORM,"Dorman Products, Inc.",n/a,Capital Goods,Auto Parts:O.E.M.,NASDAQ
DOYU,DouYu International Holdings Limited,2019,Technology,"Computer Software: Programming, Data Processing",NASDAQ
LYL,Dragon Victory International Limited,2017,Finance,Finance/Investors Services,NASDAQ
DBX,"Dropbox, Inc.",2018,Technology,Computer Software: Prepackaged Software,NASDAQ
DCAR,"DropCar, Inc.",n/a,Consumer Services,Telecommunications Equipment,NASDAQ
DSPG,"DSP Group, Inc.",1994,Technology,Semiconductors,NASDAQ
DLTH,Duluth Holdings Inc.,2015,Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ
DNKN,"Dunkin&#39; Brands Group, Inc.",2011,Consumer Services,Restaurants,NASDAQ
DUOT,"Duos Technologies Group, Inc.",n/a,Technology,Computer Software: Prepackaged Software,NASDAQ
DRRX,DURECT Corporation,2000,Health Care,Major Pharmaceuticals,NASDAQ
DXPE,"DXP Enterprises, Inc.",n/a,Capital Goods,Industrial Machinery/Components,NASDAQ
DYAI,"Dyadic International, Inc.",n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
DYNT,Dynatronics Corporation,n/a,Health Care,Medical/Dental Instruments,NASDAQ
DVAX,Dynavax Technologies Corporation,2004,Health Care,Major Pharmaceuticals,NASDAQ
ETFC,E*TRADE Financial Corporation,n/a,Finance,Savings Institutions,NASDAQ
SSP,E.W. Scripps Company (The),n/a,Consumer Services,Broadcasting,NASDAQ
EBMT,"Eagle Bancorp Montana, Inc.",n/a,Finance,Major Banks,NASDAQ
EGBN,"Eagle Bancorp, Inc.",n/a,Finance,Major Banks,NASDAQ
EGLE,Eagle Bulk Shipping Inc.,n/a,Transportation,Marine Transportation,NASDAQ
EGRX,"Eagle Pharmaceuticals, Inc.",2014,Health Care,Major Pharmaceuticals,NASDAQ
IGLE,Eagleline Acquisition Corp.,n/a,n/a,n/a,NASDAQ
ESSC,East Stone Acquisition Corporation,2020,Finance,Business Services,NASDAQ
ESSCR,East Stone Acquisition Corporation,2020,Finance,Business Services,NASDAQ
ESSCU,East Stone Acquisition Corporation,2020,Finance,Business Services,NASDAQ
ESSCW,East Stone Acquisition Corporation,2020,Finance,Business Services,NASDAQ
EWBC,"East West Bancorp, Inc.",n/a,Finance,Major Banks,NASDAQ
EML,Eastern Company (The),n/a,Capital Goods,Industrial Machinery/Components,NASDAQ
EAST,"Eastside Distilling, Inc.",n/a,Consumer Non-Durables,Beverages (Production/Distribution),NASDAQ
EVGBC,Eaton Vance NextShares Trust,n/a,n/a,n/a,NASDAQ
EVSTC,Eaton Vance NextShares Trust,n/a,n/a,n/a,NASDAQ
EVLMC,Eaton Vance NextShares Trust II,n/a,n/a,n/a,NASDAQ
EBAY,eBay Inc.,1998,Miscellaneous,Business Services,NASDAQ
EBAYL,eBay Inc.,n/a,Miscellaneous,Business Services,NASDAQ
EBIX,"Ebix, Inc.",n/a,Technology,EDP Services,NASDAQ
ECHO,"Echo Global Logistics, Inc.",2009,Transportation,Oil Refining/Marketing,NASDAQ
SATS,EchoStar Corporation,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
MOHO,ECMOHO Limited,2019,Consumer Services,Catalog/Specialty Distribution,NASDAQ
EDAP,EDAP TMS S.A.,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
EDSA,"Edesa Biotech, Inc.",n/a,Health Care,Major Pharmaceuticals,NASDAQ
EDNT,"Edison Nation, Inc.",2018,Consumer Non-Durables,Recreational Products/Toys,NASDAQ
EDIT,"Editas Medicine, Inc.",2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
EDUC,Educational Development Corporation,n/a,Consumer Durables,Consumer Specialties,NASDAQ
EGAN,eGain Corporation,1999,Technology,Computer Software: Prepackaged Software,NASDAQ
EH,EHang Holdings Limited,2019,Transportation,Air Freight/Delivery Services,NASDAQ
EHTH,"eHealth, Inc.",2006,Finance,Specialty Insurers,NASDAQ
EIDX,"Eidos Therapeutics, Inc.",2018,Health Care,Major Pharmaceuticals,NASDAQ
EIGR,"Eiger BioPharmaceuticals, Inc.",2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
EKSO,"Ekso Bionics Holdings, Inc.",n/a,Capital Goods,Industrial Machinery/Components,NASDAQ
LOCO,"El Pollo Loco Holdings, Inc.",2014,Consumer Services,Restaurants,NASDAQ
ESLT,Elbit Systems Ltd.,n/a,Capital Goods,Military/Government/Technical,NASDAQ
ERI,"Eldorado Resorts, Inc.",n/a,Consumer Services,Hotels/Resorts,NASDAQ
SOLO,Electrameccanica Vehicles Corp. Ltd.,n/a,Capital Goods,Auto Manufacturing,NASDAQ
SOLOW,Electrameccanica Vehicles Corp. Ltd.,n/a,Capital Goods,Auto Manufacturing,NASDAQ
ECOR,"electroCore, Inc.",2018,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
EA,Electronic Arts Inc.,n/a,Technology,Computer Software: Prepackaged Software,NASDAQ
ELSE,"Electro-Sensors, Inc.",n/a,Capital Goods,Industrial Machinery/Components,NASDAQ
ESBK,Elmira Savings Bank NY (The),n/a,Finance,Major Banks,NASDAQ
ELOX,"Eloxx Pharmaceuticals, Inc.",n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ
ELTK,Eltek Ltd.,1997,Technology,Electrical Products,NASDAQ
EMCF,Emclaire Financial Corp,n/a,Finance,Major Banks,NASDAQ
EMKR,EMCORE Corporation,1997,Technology,Semiconductors,NASDAQ
EMMS,Emmis Communications Corporation,1994,Consumer Services,Broadcasting,NASDAQ
ENTA,"Enanta Pharmaceuticals, Inc.",2013,Health Care,Major Pharmaceuticals,NASDAQ
ECPG,Encore Capital Group Inc,n/a,Finance,Finance Companies,NASDAQ
WIRE,Encore Wire Corporation,1992,Capital Goods,Metal Fabrications,NASDAQ
ENDP,Endo International plc,n/a,Health Care,Major Pharmaceuticals,NASDAQ
ELGX,"Endologix, Inc.",n/a,Health Care,Medical/Dental Instruments,NASDAQ
NDRA,ENDRA Life Sciences Inc.,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
NDRAW,ENDRA Life Sciences Inc.,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
EIGI,"Endurance International Group Holdings, Inc.",2013,Technology,Computer Software: Prepackaged Software,NASDAQ
WATT,Energous Corporation,2014,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
EFOI,"Energy Focus, Inc.",n/a,Consumer Durables,Building Products,NASDAQ
EHR,"Energy Hunter Resources, Inc.",n/a,n/a,n/a,NASDAQ
ERII,"Energy Recovery, Inc.",2008,Technology,Industrial Machinery/Components,NASDAQ
ENG,ENGlobal Corporation,n/a,Consumer Services,Military/Government/Technical,NASDAQ
ENLV,Enlivex Therapeutics Ltd.,2014,Health Care,Major Pharmaceuticals,NASDAQ
ENOB,"Enochian Biosciences, Inc.",n/a,Health Care,Major Pharmaceuticals,NASDAQ
ENPH,"Enphase Energy, Inc.",2012,Technology,Semiconductors,NASDAQ
ESGR,Enstar Group Limited,n/a,Finance,Property-Casualty Insurers,NASDAQ
ESGRO,Enstar Group Limited,n/a,Finance,Property-Casualty Insurers,NASDAQ
ESGRP,Enstar Group Limited,n/a,Finance,Property-Casualty Insurers,NASDAQ
ETTX,Entasis Therapeutics Holdings Inc.,2018,Health Care,Major Pharmaceuticals,NASDAQ
ENTG,"Entegris, Inc.",2000,Consumer Non-Durables,Plastic Products,NASDAQ
ENTX,Entera Bio Ltd.,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ENTXW,Entera Bio Ltd.,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
EBTC,Enterprise Bancorp Inc,n/a,Finance,Major Banks,NASDAQ
EFSC,Enterprise Financial Services Corporation,n/a,Finance,Major Banks,NASDAQ
EVSI,"Envision Solar International, Inc.",n/a,Technology,Semiconductors,NASDAQ
EVSIW,"Envision Solar International, Inc.",n/a,Technology,Semiconductors,NASDAQ
EPZM,"Epizyme, Inc.",2013,Health Care,Major Pharmaceuticals,NASDAQ
PLUS,ePlus inc.,1996,Technology,Retail: Computer Software & Peripheral Equipment,NASDAQ
EPSN,Epsilon Energy Ltd.,n/a,Energy,Oil & Gas Production,NASDAQ
EQ,"Equillium, Inc.",2018,Health Care,Major Pharmaceuticals,NASDAQ
EQIX,"Equinix, Inc.",2000,Consumer Services,Real Estate Investment Trusts,NASDAQ
EQBK,"Equity Bancshares, Inc.",2015,Finance,Major Banks,NASDAQ
ERIC,Ericsson,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
ERIE,Erie Indemnity Company,n/a,Finance,Specialty Insurers,NASDAQ
ERYP,Erytech Pharma S.A.,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ESCA,"Escalade, Incorporated",n/a,Consumer Non-Durables,Recreational Products/Toys,NASDAQ
ESPR,"Esperion Therapeutics, Inc.",2013,Health Care,Major Pharmaceuticals,NASDAQ
ESQ,"Esquire Financial Holdings, Inc.",2017,Finance,Commercial Banks,NASDAQ
ESSA,"ESSA Bancorp, Inc.",n/a,Finance,Banks,NASDAQ
EPIX,ESSA Pharma Inc.,n/a,Health Care,Major Pharmaceuticals,NASDAQ
ESTA,Establishment Labs Holdings Inc.,2018,Health Care,Industrial Specialties,NASDAQ
VBND,ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund,n/a,n/a,n/a,NASDAQ
VUSE,ETF Series Solutions Trust Vident Core US Equity ETF,n/a,n/a,n/a,NASDAQ
VIDI,ETF Series Solutions Trust Vident International Equity Fund,n/a,n/a,n/a,NASDAQ
ETON,"Eton Pharmaceuticals, Inc.",2018,Health Care,Major Pharmaceuticals,NASDAQ
ETSY,"Etsy, Inc.",2015,Miscellaneous,Business Services,NASDAQ
CLWT,Euro Tech Holdings Company Limited,1997,Consumer Durables,Diversified Electronic Products,NASDAQ
EDRY,EuroDry Ltd.,n/a,Consumer Services,Marine Transportation,NASDAQ
EEFT,"Euronet Worldwide, Inc.",1997,Finance,Investment Bankers/Brokers/Service,NASDAQ
ESEA,Euroseas Ltd.,n/a,Transportation,Marine Transportation,NASDAQ
EVLO,"Evelo Biosciences, Inc.",2018,Health Care,Major Pharmaceuticals,NASDAQ
EVBG,"Everbridge, Inc.",2016,Technology,Computer Software: Prepackaged Software,NASDAQ
EVK,"Ever-Glory International Group, Inc.",n/a,Consumer Non-Durables,Apparel,NASDAQ
EVER,"EverQuote, Inc.",2018,Technology,"Computer Software: Programming, Data Processing",NASDAQ
MRAM,"Everspin Technologies, Inc.",2016,Technology,Semiconductors,NASDAQ
EVOP,"EVO Payments, Inc.",2018,Miscellaneous,Business Services,NASDAQ
EVFM,"Evofem Biosciences, Inc.",2014,Health Care,Major Pharmaceuticals,NASDAQ
EVGN,Evogene Ltd.,n/a,Basic Industries,Agricultural Chemicals,NASDAQ
EVOK,"Evoke Pharma, Inc.",2013,Health Care,Major Pharmaceuticals,NASDAQ
EOLS,"Evolus, Inc.",2018,Health Care,Major Pharmaceuticals,NASDAQ
EVOL,"Evolving Systems, Inc.",1998,Technology,EDP Services,NASDAQ
EXAS,Exact Sciences Corporation,2001,Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ
XGN,Exagen Inc.,2019,Health Care,Medical Specialities,NASDAQ
FLAG,Exchange Traded Concepts Trust FLAG-Forensic Accounting Long-S,n/a,n/a,n/a,NASDAQ
ROBO,Exchange Traded Concepts Trust ROBO Global Robotics and Automa,n/a,n/a,n/a,NASDAQ
XELA,"Exela Technologies, Inc.",2015,Miscellaneous,Business Services,NASDAQ
EXEL,"Exelixis, Inc.",2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ
EXC,Exelon Corporation,n/a,Public Utilities,Power Generation,NASDAQ
EXFO,EXFO Inc,n/a,Capital Goods,Electrical Products,NASDAQ
XCUR,"Exicure, Inc.",n/a,Health Care,Major Pharmaceuticals,NASDAQ
EXLS,"ExlService Holdings, Inc.",2006,Miscellaneous,Business Services,NASDAQ
EXPI,"eXp World Holdings, Inc.",n/a,Finance,Real Estate,NASDAQ
EXPE,"Expedia Group, Inc.",n/a,Consumer Services,Transportation Services,NASDAQ
EXPD,"Expeditors International of Washington, Inc.",n/a,Transportation,Oil Refining/Marketing,NASDAQ
EXPC,Experience Investment Corp.,2019,Finance,Business Services,NASDAQ
EXPCU,Experience Investment Corp.,2019,Finance,Business Services,NASDAQ
EXPCW,Experience Investment Corp.,2019,Finance,Business Services,NASDAQ
EXPO,"Exponent, Inc.",n/a,Consumer Services,Professional Services,NASDAQ
STAY,"Extended Stay America, Inc.",n/a,Consumer Services,Hotels/Resorts,NASDAQ
XOG,"Extraction Oil & Gas, Inc.",2016,Energy,Oil & Gas Production,NASDAQ
EXTR,"Extreme Networks, Inc.",1999,Technology,Computer Communications Equipment,NASDAQ
EYEG,"Eyegate Pharmaceuticals, Inc.",n/a,Health Care,Major Pharmaceuticals,NASDAQ
EYEGW,"Eyegate Pharmaceuticals, Inc.",n/a,Health Care,Major Pharmaceuticals,NASDAQ
EYEN,"Eyenovia, Inc.",2018,Health Care,Major Pharmaceuticals,NASDAQ
EYPT,"EyePoint Pharmaceuticals, Inc.",n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
EZPW,"EZCORP, Inc.",1991,Consumer Services,Other Specialty Stores,NASDAQ
FLRZ,"F5 Finishes, Inc.",n/a,Basic Industries,Engineering & Construction,NASDAQ
FFIV,"F5 Networks, Inc.",1999,Technology,Computer Communications Equipment,NASDAQ
FB,"Facebook, Inc.",2012,Technology,"Computer Software: Programming, Data Processing",NASDAQ
FLMN,Falcon Minerals Corporation,2017,Energy,Oil & Gas Production,NASDAQ
FLMNW,Falcon Minerals Corporation,2017,Energy,Oil & Gas Production,NASDAQ
DUO,Fangdd Network Group Ltd.,2019,Finance,Real Estate,NASDAQ
FANH,Fanhua Inc.,n/a,Finance,Specialty Insurers,NASDAQ
FARM,Farmer Brothers Company,n/a,Consumer Non-Durables,Packaged Foods,NASDAQ
FMAO,"Farmers & Merchants Bancorp, Inc.",n/a,Finance,Savings Institutions,NASDAQ
FMNB,Farmers National Banc Corp.,n/a,Finance,Major Banks,NASDAQ
FAMI,"FARMMI, INC.",2018,Consumer Non-Durables,Packaged Foods,NASDAQ
FARO,"FARO Technologies, Inc.",1997,Capital Goods,Industrial Machinery/Components,NASDAQ
FAST,Fastenal Company,1987,Consumer Services,RETAIL: Building Materials,NASDAQ
FAT,FAT Brands Inc.,2017,Consumer Services,Restaurants,NASDAQ
FATE,"Fate Therapeutics, Inc.",2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
FBSS,"Fauquier Bankshares, Inc.",n/a,Finance,Major Banks,NASDAQ
FNHC,FedNat Holding Company,n/a,Finance,Property-Casualty Insurers,NASDAQ
FENC,Fennec Pharmaceuticals Inc.,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
GSM,Ferroglobe PLC,n/a,Capital Goods,Metal Fabrications,NASDAQ
FFBW,"FFBW, Inc.",2017,Finance,Savings Institutions,NASDAQ
FGEN,"FibroGen, Inc",2014,Health Care,Major Pharmaceuticals,NASDAQ
FDBC,"Fidelity D & D Bancorp, Inc.",n/a,Finance,Major Banks,NASDAQ
ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,n/a,n/a,n/a,NASDAQ
FDUS,Fidus Investment Corporation,2011,n/a,n/a,NASDAQ
FDUSG,Fidus Investment Corporation,n/a,n/a,n/a,NASDAQ
FDUSL,Fidus Investment Corporation,n/a,n/a,n/a,NASDAQ
FDUSZ,Fidus Investment Corporation,n/a,n/a,n/a,NASDAQ
FRGI,"Fiesta Restaurant Group, Inc.",n/a,Consumer Services,Restaurants,NASDAQ
FITB,Fifth Third Bancorp,n/a,Finance,Major Banks,NASDAQ
FITBI,Fifth Third Bancorp,n/a,Finance,Major Banks,NASDAQ
FITBO,Fifth Third Bancorp,n/a,Finance,Major Banks,NASDAQ
FITBP,Fifth Third Bancorp,n/a,Finance,Major Banks,NASDAQ
FISI,"Financial Institutions, Inc.",1999,Finance,Major Banks,NASDAQ
FNJN,"Finjan Holdings, Inc.",n/a,Miscellaneous,Multi-Sector Companies,NASDAQ
FSRV,FinServ Acquisition Corp.,2019,Finance,Business Services,NASDAQ
FSRVU,FinServ Acquisition Corp.,2019,Finance,Business Services,NASDAQ
FSRVW,FinServ Acquisition Corp.,2019,Finance,Business Services,NASDAQ
FTAC,FinTech Acquisition Corp. III,2019,Finance,Business Services,NASDAQ
FTACU,FinTech Acquisition Corp. III,2018,Finance,Business Services,NASDAQ
FTACW,FinTech Acquisition Corp. III,2019,Finance,Business Services,NASDAQ
FEYE,"FireEye, Inc.",2013,Technology,Computer peripheral equipment,NASDAQ
FBNC,First Bancorp,1987,Finance,Major Banks,NASDAQ
FNLC,"First Bancorp, Inc (ME)",n/a,Finance,Major Banks,NASDAQ
FRBA,First Bank,2013,n/a,n/a,NASDAQ
BUSE,First Busey Corporation,n/a,Finance,Major Banks,NASDAQ
FBIZ,"First Business Financial Services, Inc.",n/a,Finance,Major Banks,NASDAQ
FCAP,"First Capital, Inc.",n/a,Finance,Savings Institutions,NASDAQ
FCBP,First Choice Bancorp,n/a,Finance,Major Banks,NASDAQ
FCNCA,"First Citizens BancShares, Inc.",n/a,Finance,Major Banks,NASDAQ
FCNCP,"First Citizens BancShares, Inc.",n/a,Finance,Major Banks,NASDAQ
FCBC,"First Community Bankshares, Inc.",n/a,Finance,Major Banks,NASDAQ
FCCO,First Community Corporation,n/a,Finance,Major Banks,NASDAQ
FDEF,First Defiance Financial Corp.,n/a,Finance,Savings Institutions,NASDAQ
FFBC,First Financial Bancorp.,n/a,Finance,Major Banks,NASDAQ
FFIN,"First Financial Bankshares, Inc.",n/a,Finance,Major Banks,NASDAQ
THFF,First Financial Corporation Indiana,n/a,Finance,Major Banks,NASDAQ
FFNW,"First Financial Northwest, Inc.",n/a,Finance,Major Banks,NASDAQ
FFWM,First Foundation Inc.,n/a,Finance,Major Banks,NASDAQ
FGBI,"First Guaranty Bancshares, Inc.",n/a,Finance,Savings Institutions,NASDAQ
FHB,"First Hawaiian, Inc.",2016,Finance,Major Banks,NASDAQ
INBK,First Internet Bancorp,n/a,Finance,Major Banks,NASDAQ
INBKL,First Internet Bancorp,n/a,Finance,Major Banks,NASDAQ
INBKZ,First Internet Bancorp,n/a,Finance,Major Banks,NASDAQ
FIBK,"First Interstate BancSystem, Inc.",2010,Finance,Major Banks,NASDAQ
FRME,First Merchants Corporation,n/a,Finance,Major Banks,NASDAQ
FMBH,"First Mid Bancshares, Inc.",n/a,Finance,Major Banks,NASDAQ
FMBI,"First Midwest Bancorp, Inc.",n/a,Finance,Major Banks,NASDAQ
FXNC,First National Corporation,n/a,Finance,Major Banks,NASDAQ
FNWB,First Northwest Bancorp,2015,Finance,Banks,NASDAQ
FSFG,"First Savings Financial Group, Inc.",n/a,Finance,Savings Institutions,NASDAQ
FSEA,First Seacoast Bancorp,2019,Finance,Savings Institutions,NASDAQ
FSLR,"First Solar, Inc.",2006,Technology,Semiconductors,NASDAQ
FAAR,First Trust Alternative Absolute Return Strategy ETF,n/a,n/a,n/a,NASDAQ
FPA,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,n/a,n/a,n/a,NASDAQ
BICK,First Trust BICK Index Fund,n/a,n/a,n/a,NASDAQ
FBZ,First Trust Brazil AlphaDEX Fund,n/a,n/a,n/a,NASDAQ
FTHI,First Trust BuyWrite Income ETF,n/a,n/a,n/a,NASDAQ
FCAL,First Trust California Municipal High income ETF,n/a,n/a,n/a,NASDAQ
FCAN,First Trust Canada AlphaDEX Fund,n/a,n/a,n/a,NASDAQ
FTCS,First Trust Capital Strength ETF,n/a,n/a,n/a,NASDAQ
FCEF,First Trust CEF Income Opportunity ETF,n/a,n/a,n/a,NASDAQ
FCA,First Trust China AlphaDEX Fund,n/a,n/a,n/a,NASDAQ
SKYY,First Trust Cloud Computing ETF,n/a,n/a,n/a,NASDAQ
RNDM,First Trust Developed International Equity Select ETF,n/a,n/a,n/a,NASDAQ
FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,n/a,n/a,n/a,NASDAQ
FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,n/a,n/a,n/a,NASDAQ
FVC,First Trust Dorsey Wright Dynamic Focus 5 ETF,n/a,n/a,n/a,NASDAQ
FV,First Trust Dorsey Wright Focus 5 ETF,n/a,n/a,n/a,NASDAQ
IFV,First Trust Dorsey Wright International Focus 5 ETF,n/a,n/a,n/a,NASDAQ
DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,n/a,n/a,n/a,NASDAQ
DVOL,First Trust Dorsey Wright Momentum & Low Volatility ETF,n/a,n/a,n/a,NASDAQ
DVLU,First Trust Dorsey Wright Momentum & Value ETF,n/a,n/a,n/a,NASDAQ
DWPP,First Trust Dorsey Wright People&#39;s Portfolio ETF,n/a,n/a,n/a,NASDAQ
DALI,First Trust DorseyWright DALI 1 ETF,n/a,n/a,n/a,NASDAQ
FDNI,First Trust Dow Jones International Internet ETF,n/a,n/a,n/a,NASDAQ
FEM,First Trust Emerging Markets AlphaDEX Fund,n/a,n/a,n/a,NASDAQ
RNEM,First Trust Emerging Markets Equity Select ETF,n/a,n/a,n/a,NASDAQ
FEMB,First Trust Emerging Markets Local Currency Bond ETF,n/a,n/a,n/a,NASDAQ
FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,n/a,n/a,n/a,NASDAQ
FTSM,First Trust Enhanced Short Maturity ETF,n/a,n/a,n/a,NASDAQ
FEP,First Trust Europe AlphaDEX Fund,n/a,n/a,n/a,NASDAQ
FEUZ,First Trust Eurozone AlphaDEX ETF,n/a,n/a,n/a,NASDAQ
FGM,First Trust Germany AlphaDEX Fund,n/a,n/a,n/a,NASDAQ
FTGC,First Trust Global Tactical Commodity Strategy Fund,n/a,n/a,n/a,NASDAQ
FTLB,First Trust Hedged BuyWrite Income ETF,n/a,n/a,n/a,NASDAQ
HYLS,First Trust High Yield Long/Short ETF,n/a,n/a,n/a,NASDAQ
FHK,First Trust Hong Kong AlphaDEX Fund,n/a,n/a,n/a,NASDAQ
NFTY,First Trust India Nifty 50 Equal Weight ETF,n/a,n/a,n/a,NASDAQ
FTAG,First Trust Indxx Global Agriculture ETF,n/a,n/a,n/a,NASDAQ
FTRI,First Trust Indxx Global Natural Resources Income ETF,n/a,n/a,n/a,NASDAQ
LEGR,First Trust Indxx Innovative Transaction & Process ETF,n/a,n/a,n/a,NASDAQ
NXTG,First Trust Indxx NextG ETF,n/a,n/a,n/a,NASDAQ
FPXI,First Trust International Equity Opportunities ETF,n/a,n/a,n/a,NASDAQ
